ASV,Viborg 2019-47 AS,Viborg 2019-49 AS,Viborg 2019-52 AS,Viborg 2019-53 AS,Viborg 2020-2 AS,Viborg 2020-3 AS,Viborg 2020-4 AS,Viborg 2020-6 AS
ASV1505,0,1,0,0,1,0,0,0
ASV1509,25,40,53,64,121,70,46,15
ASV1526,0,0,0,2,3,6,3,2
ASV1536,84,82,118,119,265,133,212,89
ASV1543,2,1,1,2,0,0,1,0
ASV1548,24,7,17,13,33,23,30,13
ASV1584,6,2,4,8,6,4,7,1
ASV1586,0,3,5,9,25,8,9,3
ASV1595,0,2,0,2,3,3,1,1
ASV1619,3,4,2,1,11,8,5,7
ASV1636,84,74,117,108,284,145,149,80
ASV1647,12,38,38,24,59,56,64,39
ASV1648,19,15,38,33,70,28,40,17
ASV1649,13,12,25,26,56,36,68,27
ASV1673,2,0,0,0,5,2,3,1
ASV1679,0,0,0,0,0,0,4,1
ASV1705,0,1,0,3,7,4,4,7
ASV1727,33,31,38,34,55,40,32,27
ASV1731,20,33,41,65,108,84,87,72
ASV1739,2,3,3,3,17,4,11,5
ASV1751,4,2,14,9,11,2,6,4
ASV1779,3,2,2,1,10,5,1,4
ASV1781,1,0,0,0,1,0,2,1
ASV1787,1,6,0,4,14,4,1,3
ASV1846,1,2,1,0,4,0,2,0
ASV1849,26,12,24,16,42,21,20,9
ASV1861,2,4,4,1,11,0,4,1
ASV1864,27,28,38,47,75,24,42,13
ASV1865,4,9,4,8,19,3,7,9
ASV1878,1,2,5,5,18,2,3,9
ASV1884,2,1,0,2,9,1,1,1
ASV1892,2,2,5,4,9,9,2,4
ASV1899,22,24,20,17,34,27,21,19
ASV1903,0,1,0,0,10,2,1,2
ASV1918,36,27,38,36,77,53,49,33
ASV1920,2,8,3,2,17,2,4,2
ASV1922,1,5,4,7,16,4,7,0
ASV1925,0,1,0,0,4,0,0,0
ASV1937,18,21,44,42,84,26,40,14
ASV1938,4,2,1,5,6,1,7,0
ASV1972,0,4,1,4,13,9,5,6
ASV2009,0,2,1,1,5,0,2,0
ASV2049,4,4,8,5,16,8,2,7
ASV2055,11,13,48,42,96,53,81,24
ASV2063,2,3,3,2,5,8,6,0
ASV2065,4,3,4,8,32,4,6,7
ASV2082,4,8,7,4,12,10,6,3
ASV2095,15,8,39,18,57,29,54,28
ASV2104,0,1,1,1,3,4,6,6
ASV2109,0,0,0,0,0,0,0,0
ASV2116,39,36,62,41,97,40,34,15
ASV2122,0,0,0,0,0,1,0,0
ASV2124,16,20,17,21,45,33,50,32
ASV2150,1,0,2,3,2,2,2,0
ASV2167,3,5,4,2,18,10,8,5
ASV2178,1,2,2,6,14,3,3,1
ASV2180,0,4,4,9,19,3,7,3
ASV2184,0,0,2,3,7,7,1,4
ASV2203,4,5,4,3,19,2,2,5
ASV2228,2,1,4,2,9,1,1,0
ASV2232,1,0,5,6,12,2,9,9
ASV2234,5,10,3,4,4,2,2,4
ASV2239,4,5,1,2,4,6,2,3
ASV2248,1,7,3,5,18,3,3,3
ASV2259,2,5,3,3,9,5,7,1
ASV2262,1,1,1,2,3,1,0,1
ASV2273,1,0,1,1,28,4,2,1
ASV2275,25,43,77,47,130,61,126,69
ASV2283,51,38,72,56,100,71,62,30
ASV2291,1,0,0,1,6,0,0,3
ASV2301,3,0,2,4,16,2,8,4
ASV2334,2,8,5,5,20,6,10,2
ASV2344,12,39,44,33,60,74,72,51
ASV2345,0,2,3,2,6,3,2,1
ASV2378,3,4,3,5,6,5,3,1
ASV2396,3,10,6,7,12,9,3,8
ASV2409,0,3,1,2,10,4,4,2
ASV2426,1,8,4,3,20,11,8,3
ASV2429,31,32,45,30,81,62,81,54
ASV2430,0,0,1,2,0,0,1,2
ASV2450,0,5,1,2,4,0,3,1
ASV2451,1,3,2,8,13,2,3,2
ASV2531,0,1,1,4,3,5,3,1
ASV2550,0,1,0,0,4,1,0,0
ASV2570,22,1,6,4,7,3,2,0
ASV2580,1,2,2,2,7,1,2,2
ASV2598,0,2,1,4,7,0,6,2
ASV2613,2,3,3,0,2,0,3,1
ASV2627,3,2,2,0,12,3,6,2
ASV2663,1,2,4,4,123,4,1,1
ASV2691,4,3,4,5,11,3,6,4
ASV2693,0,0,1,5,26,6,3,1
ASV2778,0,0,0,25,3,1,4,4
ASV2790,0,0,1,2,10,7,2,3
ASV2791,0,1,0,1,2,0,0,0
ASV2798,1,0,1,4,28,3,3,3
ASV2799,1,6,5,8,62,10,8,5
ASV2807,0,0,2,1,2,1,0,0
ASV2811,0,4,2,7,12,4,8,3
ASV2814,8,33,11,42,66,27,20,16
ASV2819,3,3,2,8,9,3,1,1
ASV2820,3,7,3,4,12,7,4,0
ASV2835,3,5,14,15,42,21,13,3
ASV2852,0,5,2,4,17,2,3,2
ASV2855,30,47,55,56,126,72,56,45
ASV2865,1,3,1,0,9,0,0,0
ASV2872,3,2,1,4,11,3,3,3
ASV2887,1,0,1,3,3,9,2,0
ASV2980,11,11,23,20,80,26,60,45
ASV3014,9,62,65,15,107,113,150,199
ASV3015,1,0,0,0,0,0,0,0
ASV3061,0,0,1,3,12,5,3,1
ASV3076,1,0,3,6,12,1,2,3
ASV3091,0,2,5,4,7,4,4,6
ASV3113,3,9,5,6,8,16,10,6
ASV3177,0,0,1,0,1,0,0,0
ASV3193,4,9,18,12,45,13,20,8
ASV3211,0,0,0,0,1,2,2,0
ASV3219,3,1,0,1,2,2,3,2
ASV3226,0,0,2,2,2,0,0,1
ASV3233,0,2,2,5,10,4,3,1
ASV3237,2,3,6,9,10,3,3,2
ASV3241,27,29,32,25,44,16,13,3
ASV3263,1,4,2,1,2,4,5,2
ASV3270,0,1,3,4,9,2,5,0
ASV3324,0,6,0,1,3,1,4,2
ASV3329,1,4,1,3,7,4,3,3
ASV3331,4,5,4,3,5,1,7,2
ASV3366,2,6,2,3,4,3,7,2
ASV3371,0,3,0,3,6,3,6,4
ASV3392,1,0,1,0,5,1,0,1
ASV3399,1,4,4,1,8,3,0,2
ASV3407,46,41,35,29,107,59,70,42
ASV3412,0,0,0,0,2,2,0,0
ASV3413,4,34,57,59,292,197,131,44
ASV3423,1,1,3,7,11,5,8,4
ASV3448,22,19,33,35,72,40,62,31
ASV3470,0,0,4,1,3,3,4,0
ASV3477,0,0,0,0,0,0,3,1
ASV3479,2,4,1,3,12,6,4,1
ASV3491,1,3,4,1,6,2,1,2
ASV3498,1,3,2,7,5,7,4,2
ASV3517,0,0,0,0,1,0,3,0
ASV3523,2,0,0,2,3,0,3,0
ASV3565,1,1,2,2,4,3,1,0
ASV3595,0,0,0,1,2,1,1,0
ASV3657,0,3,1,0,3,2,5,1
ASV3667,0,2,0,0,2,0,2,1
ASV3672,41,34,34,28,64,32,23,14
ASV3698,0,1,2,1,2,2,1,2
ASV3712,1,2,0,2,6,1,0,4
ASV3714,5,2,3,0,4,2,1,1
ASV3767,3,4,4,9,13,4,6,8
ASV3822,2,1,1,2,1,4,1,0
ASV3827,1,0,0,0,0,2,0,0
ASV3863,0,0,0,0,0,0,0,0
ASV3921,0,3,2,0,1,1,0,0
ASV3927,2,1,1,4,3,2,1,0
ASV3928,29,31,44,34,80,35,37,17
ASV3936,0,0,0,0,0,0,0,0
ASV3990,1,2,0,1,1,0,0,0
ASV3999,0,0,2,0,3,1,1,1
ASV4005,0,1,1,4,5,6,2,1
ASV4008,0,2,1,1,5,1,3,4
ASV4013,0,0,0,0,0,1,0,0
ASV4028,15,35,68,50,131,80,84,49
ASV4039,2,0,1,2,6,4,5,1
ASV4083,0,3,1,2,8,2,0,4
ASV4113,0,0,0,0,0,0,0,0
ASV4124,0,0,0,2,1,1,0,0
ASV4142,0,0,0,0,1,0,1,0
ASV4170,0,0,0,1,6,1,2,1
ASV4171,0,0,0,0,2,3,0,3
ASV4173,56,59,147,131,323,155,185,91
ASV4206,1,0,0,0,2,0,0,0
ASV4214,0,2,4,2,5,1,0,0
ASV4309,10,8,15,21,34,22,24,20
ASV4364,0,0,2,2,2,0,1,2
ASV4369,0,1,0,0,0,1,1,1
ASV4391,0,0,1,1,1,6,4,3
ASV4393,2,2,0,2,3,4,1,2
ASV4433,0,1,0,0,3,2,0,1
ASV4493,0,0,0,0,1,0,0,0
ASV4525,1,0,0,1,2,1,0,2
ASV4568,0,0,0,0,0,0,0,0
ASV4609,0,1,0,3,2,2,3,2
ASV4625,0,4,1,4,10,1,5,3
ASV4639,0,0,0,0,0,0,0,0
ASV4668,0,1,3,3,9,3,1,1
ASV4684,0,0,0,0,1,0,0,0
ASV4722,0,0,0,0,0,1,2,0
ASV4771,3,2,2,5,13,1,4,2
ASV4803,0,0,0,0,0,0,0,0
ASV4812,24,29,35,31,75,36,38,22
ASV4829,0,0,1,0,1,1,0,0
ASV4898,2,2,1,4,3,0,2,1
ASV4914,0,3,2,1,8,1,3,1
ASV4950,1,2,1,0,17,0,1,2
ASV5048,2,1,2,1,1,5,1,5
ASV5058,3,0,3,0,3,1,1,0
ASV5159,0,0,0,0,2,0,0,0
ASV5172,1,1,0,1,2,5,0,1
ASV5405,1,0,0,4,3,8,7,2
ASV5442,0,0,0,2,0,0,1,4
ASV5464,24,21,32,52,71,38,48,25
ASV5662,2,2,2,0,3,2,2,3
ASV5854,1,2,2,2,2,3,1,0
ASV5895,0,0,2,3,6,0,0,4
ASV5916,0,0,0,0,1,0,0,1
ASV5936,0,0,1,2,5,1,3,0
ASV5989,0,0,3,4,10,6,2,1
ASV6042,0,1,1,2,5,3,0,0
ASV6081,25,22,45,28,69,22,24,15
ASV6145,1,2,2,0,0,0,1,0
ASV6177,22,14,35,38,106,42,97,53
ASV6180,0,0,0,0,3,0,2,1
ASV6259,2,8,14,16,55,37,38,34
ASV6358,0,1,0,6,3,4,2,2
ASV6456,0,0,0,0,3,1,0,0
ASV6559,0,2,1,0,2,2,2,0
ASV6577,0,0,0,0,0,1,0,0
ASV6593,5,10,18,5,12,49,37,34
ASV6619,3,2,1,2,4,1,0,1
ASV6627,1,0,1,0,1,1,1,0
ASV6653,2,2,0,0,7,1,0,2
ASV6719,0,0,0,0,0,0,0,0
ASV6873,2,0,1,1,1,1,0,1
ASV6952,0,4,1,0,4,0,1,0
ASV7001,2,3,1,0,1,0,1,1
ASV7039,1,1,1,5,8,4,4,2
ASV7150,0,0,0,2,2,2,1,1
ASV7209,1,0,0,0,7,0,1,0
ASV7259,0,0,1,1,2,1,0,1
ASV7260,2,2,0,0,2,0,2,1
ASV7420,1,0,0,2,1,0,0,0
ASV7425,0,1,1,1,5,1,0,1
ASV7441,0,3,0,1,7,2,3,0
ASV7455,0,0,1,0,1,0,0,0
ASV7559,0,1,1,1,0,0,2,0
ASV7599,0,0,0,2,11,1,1,0
ASV7718,0,0,1,0,0,0,0,0
ASV7906,0,0,1,0,0,0,1,0
ASV7911,0,0,0,0,1,0,0,0
ASV7915,1,0,1,1,2,0,1,1
ASV7973,0,0,1,1,2,0,0,0
ASV8018,0,0,0,0,1,0,0,0
ASV8022,0,0,0,4,1,0,0,0
ASV8132,0,1,0,0,0,1,0,0
ASV8720,0,0,0,1,2,1,1,0
ASV8746,12,31,13,10,26,22,30,34
ASV8784,0,0,0,0,0,0,0,0
ASV8955,0,1,0,0,1,0,1,0
ASV9002,0,0,0,0,0,4,0,0
ASV9188,1,0,0,0,0,0,0,0
ASV9216,0,0,0,1,4,2,0,1
ASV9243,0,0,0,1,2,3,0,0
ASV9850,0,0,4,2,0,0,1,1
ASV9987,2,0,3,0,3,0,3,1
ASV10201,0,0,0,0,1,0,0,1
ASV10281,0,0,0,0,0,0,0,0
ASV10328,0,0,0,2,0,0,0,0
ASV10674,28,23,15,26,33,21,15,5
ASV10950,22,21,39,44,106,42,66,39
ASV11360,0,0,0,0,0,2,0,0
ASV11451,0,0,1,1,1,0,0,1
ASV11581,1,0,0,0,0,0,0,0
ASV11669,2,5,5,7,31,36,45,50
ASV11758,0,0,1,0,0,0,2,0
ASV11761,0,0,0,0,0,0,0,0
ASV11803,0,1,0,0,2,0,1,0
ASV12066,21,8,15,23,36,12,3,0
ASV12113,0,0,0,0,0,0,1,0
ASV12165,0,0,0,0,0,0,0,0
ASV12580,0,0,0,0,3,2,0,0
ASV12728,0,1,0,2,2,0,0,0
ASV12833,29,39,31,53,62,35,25,4
ASV13163,0,0,0,0,0,0,0,0
ASV13862,0,0,0,0,0,0,0,0
ASV14783,0,0,1,0,0,1,2,0
ASV15417,0,0,0,1,0,0,0,0
ASV15728,0,0,0,0,0,0,0,0
ASV15961,1,0,0,0,1,0,0,0
ASV16981,0,0,0,0,1,0,0,0
ASV17011,0,0,0,1,1,0,0,0
ASV17422,0,0,0,0,0,0,0,0
ASV18170,0,1,0,1,7,1,1,1
ASV18363,0,0,1,0,0,0,0,0
ASV19054,0,0,0,0,1,0,0,0
ASV19178,1,0,0,0,0,0,1,0
ASV19632,0,1,0,1,2,1,0,0
ASV19845,0,0,0,0,0,0,0,0
ASV20063,0,0,0,0,1,0,0,0
ASV20981,0,0,0,0,0,0,0,0
ASV21624,0,0,0,1,0,0,0,0
ASV22171,0,0,0,0,0,0,1,0
ASV22344,0,0,0,0,0,0,0,0
ASV22396,0,0,0,0,0,0,0,0
ASV24112,0,0,0,0,1,0,0,0
ASV25212,0,0,0,0,0,0,0,0
ASV25260,0,0,0,0,0,0,0,0
ASV26386,0,0,0,0,0,0,1,0
ASV27254,1,0,0,0,1,0,0,0
ASV27280,0,0,0,0,0,0,1,0
ASV28911,0,0,0,0,0,0,0,0
ASV30926,0,2,0,2,1,2,3,2
ASV30933,0,0,0,0,0,0,0,0
ASV31406,0,0,0,0,0,0,0,0
ASV31954,0,0,0,0,0,0,0,0
ASV33420,0,0,0,0,0,0,0,0
ASV36113,0,0,0,0,0,0,0,0
ASV36435,0,0,0,0,0,0,0,0
ASV39011,0,0,0,0,0,0,0,0
ASV40287,0,1,0,0,0,0,0,0
ASV40534,0,0,1,0,0,0,0,0
ASV40548,0,0,0,0,0,0,0,0
ASV42003,0,0,0,0,0,0,0,0
ASV43917,0,1,0,0,0,0,0,0
ASV44406,1,0,0,0,0,0,0,0
ASV51748,0,0,0,0,0,0,0,0
ASV52166,0,0,0,0,0,0,0,0
ASV58619,0,0,0,0,0,0,0,0
ASV59296,0,0,0,0,0,0,0,0
ASV61814,0,1,0,0,0,0,1,0
ASV66534,0,0,0,0,0,0,0,0
ASV67501,0,0,0,0,0,0,0,0
ASV69417,0,0,0,0,0,1,0,0
ASV69599,0,0,0,0,0,0,0,0
ASV80844,0,0,0,0,0,0,0,0
ASV86301,0,0,0,0,0,0,0,0
ASV88705,0,0,0,0,0,0,0,0
ASV91932,0,0,0,0,0,0,0,0
ASV93678,1,0,0,0,0,0,0,0
ASV97044,0,0,0,0,0,0,0,0
ASV103127,0,0,0,0,0,0,0,0
ASV104366,0,0,0,0,0,0,0,0
ASV105703,0,0,2,0,0,1,0,0
ASV106008,0,0,0,0,0,0,0,0
ASV108102,1,0,0,4,5,2,0,3
ASV112928,0,0,0,0,0,0,0,0
ASV113946,0,0,0,0,0,0,0,0
ASV126436,0,0,0,0,0,0,0,0
ASV136780,0,0,1,0,0,0,0,0
ASV138035,12,24,42,42,192,59,48,22
ASV138043,44,78,72,24,26,103,87,72
ASV138067,0,0,1,0,2,1,0,1
newASV3,104,99,93,74,194,143,107,54
newASV24,4,0,0,2,2,4,3,1
newASV29,0,0,0,0,0,0,0,0
newASV66,0,0,0,0,0,0,0,0
newASV97,0,0,0,0,0,0,0,0
newASV109,0,0,0,0,0,0,0,0
newASV164,0,0,0,0,0,0,0,0
newASV209,0,0,0,0,0,0,0,0
newASV220,0,0,0,0,0,0,0,0
newASV261,52,62,54,58,87,49,31,19
newASV291,0,0,0,0,0,0,0,0
newASV317,0,0,0,0,0,0,0,0
newASV407,0,0,0,0,0,0,0,0
newASV424,0,0,0,0,0,0,0,0
newASV604,0,0,0,0,0,0,0,0
newASV761,0,0,0,0,0,0,0,0
newASV1179,0,0,0,0,0,0,0,0
newASV1310,0,0,0,0,1,0,0,0
newASV1495,0,0,0,0,0,0,0,0
newASV1780,24,12,26,16,54,16,25,7
newASV2435,0,0,0,0,0,0,0,0
newASV2528,0,0,0,0,1,0,0,0
newASV3036,0,0,0,0,0,0,0,0
newASV4717,0,0,0,0,0,0,0,0
newASV4831,0,0,0,0,0,0,0,0
newASV4849,0,0,0,0,0,0,0,0
newASV6412,0,0,0,0,0,0,0,0
newASV7200,0,0,0,0,0,0,0,0
newASV7554,0,0,0,0,0,0,0,0
newASV12469,0,0,0,0,0,0,0,0
newASV14213,0,0,0,0,0,0,0,0
newASV29610,4,3,10,5,22,4,6,6
newASV30456,0,0,0,0,0,0,0,0
newASV35003,0,0,0,1,2,1,0,1
newASV38463,2,4,8,4,29,4,10,0
newASV42051,0,0,0,0,0,0,0,0
newASV44692,1,0,0,0,1,0,0,0
newASV47101,4,7,11,17,61,20,12,10
