Sample,SeqRun,LibID,Read no,ID,Line,Mean,Plant,Date,Year,Period,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc
MQ190702-129,MQ190702,LIB-Aalborg-W-LT-573,65898.0,,pre-S::Select,,Aalborg W,2018-07-17,2018,,,,,,,,,,,,,,,
MQ190702-130,MQ190702,LIB-Aalborg-W-LT-575,46681.0,,pre-S::Select,,Aalborg W,2018-07-20,2018,,,,,,,,,,,,,,,
MQ190702-131,MQ190702,LIB-Aalborg-W-LT-577,51998.0,,pre-S::Select,,Aalborg W,2018-07-31,2018,,,,,,,,,,,,,,,
MQ190702-132,MQ190702,LIB-Aalborg-W-LT-579,55266.0,,pre-S::Select,,Aalborg W,2018-08-03,2018,,,,,,,,,,,,,,,
MQ190702-133,MQ190702,LIB-Aalborg-W-LT-581,66621.0,,pre-S::Select,,Aalborg W,2018-08-07,2018,,,,,,,,,,,,,,,
MQ190702-134,MQ190702,LIB-Aalborg-W-LT-583,64321.0,,pre-S::Select,,Aalborg W,2018-08-10,2018,,,,,,,,,,,,,,,
MQ190702-135,MQ190702,LIB-Aalborg-W-LT-585,68860.0,,pre-S::Select,,Aalborg W,2018-08-14,2018,,,,,,,,,,,,,,,
MQ190702-136,MQ190702,LIB-Aalborg-W-LT-587,52604.0,,pre-S::Select,,Aalborg W,2018-08-17,2018,,,,,,,,,,,,,,,
MQ190702-137,MQ190702,LIB-Aalborg-W-LT-589,59221.0,,pre-S::Select,,Aalborg W,2018-08-21,2018,,,,,,,,,,,,,,,
MQ190702-138,MQ190702,LIB-Aalborg-W-LT-591,39978.0,,pre-S::Select,,Aalborg W,2018-08-24,2018,,,,,,,,,,,,,,,
MQ190702-139,MQ190702,LIB-Aalborg-W-LT-593,49876.0,,pre-S::Select,,Aalborg W,2018-08-28,2018,,,,,,,,,,,,,,,
MQ190702-140,MQ190702,LIB-Aalborg-W-LT-595,54861.0,,pre-S::Select,,Aalborg W,2018-08-31,2018,,,,,,,,,,,,,,,
MQ190702-141,MQ190702,LIB-Aalborg-W-LT-597,62978.0,,pre-S::Select,,Aalborg W,2018-09-04,2018,,,,,,,,,,,,,,,
MQ190702-142,MQ190702,LIB-Aalborg-W-LT-599,50709.0,,pre-S::Select,,Aalborg W,2018-09-07,2018,,,,,,,,,,,,,,,
MQ190702-143,MQ190702,LIB-Aalborg-W-LT-601,50072.0,,pre-S::Select,,Aalborg W,2018-09-11,2018,,,,,,,,,,,,,,,
MQ190702-144,MQ190702,LIB-Aalborg-W-LT-603,49768.0,,pre-S::Select,,Aalborg W,2018-09-14,2018,,,,,,,,,,,,,,,
MQ190702-145,MQ190702,LIB-Aalborg-W-LT-605,48784.0,,pre-S::Select,,Aalborg W,2018-09-18,2018,,,,,,,,,,,,,,,
MQ190702-146,MQ190702,LIB-Aalborg-W-LT-607,33537.0,,pre-S::Select,,Aalborg W,2018-09-21,2018,,,,,,,,,,,,,,,
MQ190702-147,MQ190702,LIB-Aalborg-W-LT-609,43322.0,,pre-S::Select,,Aalborg W,2018-09-24,2018,,,,,,,,,,,,,,,
MQ190702-148,MQ190702,LIB-Aalborg-W-LT-611,53381.0,,pre-S::Select,,Aalborg W,2018-09-28,2018,,,,,,,,,,,,,,,
MQ190702-149,MQ190702,LIB-Aalborg-W-LT-613,71615.0,,pre-S::Select,,Aalborg W,2018-10-03,2018,,,,,,,,,,,,,,,
MQ190702-150,MQ190702,LIB-Aalborg-W-LT-615,43720.0,,pre-S::Select,,Aalborg W,2018-10-05,2018,,,,,,,,,,,,,,,
MQ190702-151,MQ190702,LIB-Aalborg-W-LT-617,48655.0,,pre-S::Select,,Aalborg W,2018-10-09,2018,,,,,,,,,,,,,,,
MQ190702-152,MQ190702,LIB-Aalborg-W-LT-619,67391.0,,pre-S::Select,,Aalborg W,2018-10-12,2018,,,,,,,,,,,,,,,
MQ190702-153,MQ190702,LIB-Aalborg-W-LT-621,73189.0,,pre-S::Select,,Aalborg W,2018-10-16,2018,,,,,,,,,,,,,,,
MQ190702-154,MQ190702,LIB-Aalborg-W-LT-623,52194.0,,pre-S::Select,,Aalborg W,2018-10-19,2018,,,,,,,,,,,,,,,
MQ190702-155,MQ190702,LIB-Aalborg-W-LT-625,74879.0,,pre-S::Select,,Aalborg W,2018-10-23,2018,,,,,,,,,,,,,,,
MQ190702-156,MQ190702,LIB-Aalborg-W-LT-627,71059.0,,pre-S::Select,,Aalborg W,2018-10-26,2018,,,,,,,,,,,,,,,
MQ190702-157,MQ190702,LIB-Aalborg-W-LT-629,77330.0,,pre-S::Select,,Aalborg W,2018-10-30,2018,,,,,,,,,,,,,,,
MQ190702-158,MQ190702,LIB-Aalborg-W-LT-631,60651.0,,pre-S::Select,,Aalborg W,2018-11-02,2018,,,,,,,,,,,,,,,
MQ190702-159,MQ190702,LIB-Aalborg-W-LT-633,68532.0,,pre-S::Select,,Aalborg W,2018-11-05,2018,,,,,,,,,,,,,,,
MQ190702-160,MQ190702,LIB-Aalborg-W-LT-635,37516.0,,pre-S::Select,,Aalborg W,2018-11-09,2018,,,,,,,,,,,,,,,
MQ190702-161,MQ190702,LIB-Aalborg-W-LT-637,38092.0,,pre-S::Select,,Aalborg W,2018-11-13,2018,,,,,,,,,,,,,,,
MQ190702-162,MQ190702,LIB-Aalborg-W-LT-639,25881.0,,pre-S::Select,,Aalborg W,2018-11-16,2018,,,,,,,,,,,,,,,
MQ190702-163,MQ190702,LIB-Aalborg-W-LT-641,25327.0,,pre-S::Select,,Aalborg W,2018-11-20,2018,,,,,,,,,,,,,,,
MQ190702-164,MQ190702,LIB-Aalborg-W-LT-643,38266.0,,pre-S::Select,,Aalborg W,2018-11-23,2018,,,,,,,,,,,,,,,
MQ190702-165,MQ190702,LIB-Aalborg-W-LT-645,40982.0,,pre-S::Select,,Aalborg W,2018-11-27,2018,,,,,,,,,,,,,,,
MQ190702-166,MQ190702,LIB-Aalborg-W-LT-647,32177.0,,pre-S::Select,,Aalborg W,2018-11-30,2018,,,,,,,,,,,,,,,
MQ190702-167,MQ190702,LIB-Aalborg-W-LT-649,34946.0,,pre-S::Select,,Aalborg W,2018-12-03,2018,,,,,,,,,,,,,,,
MQ190702-168,MQ190702,LIB-Aalborg-W-LT-651,60108.0,,pre-S::Select,,Aalborg W,2018-12-06,2018,,,,,,,,,,,,,,,
MQ190702-169,MQ190702,LIB-Aalborg-W-LT-653,60650.0,,pre-S::Select,,Aalborg W,2018-12-11,2018,,,,,,,,,,,,,,,
MQ190702-170,MQ190702,LIB-Aalborg-W-LT-655,46694.0,,pre-S::Select,,Aalborg W,2018-12-13,2018,,,,,,,,,,,,,,,
MQ190702-171,MQ190702,LIB-Aalborg-W-LT-657,51618.0,,pre-S::Select,,Aalborg W,2018-12-18,2018,,,,,,,,,,,,,,,
MQ190702-172,MQ190702,LIB-Aalborg-W-LT-659,1160.0,,pre-S::Select,,Aalborg W,2018-12-21,2018,,,,,,,,,,,,,,,
MQ190702-173,MQ190702,LIB-Aalborg-W-LT-661,72153.0,,pre-S::Select,,Aalborg W,2019-01-03,2019,,,,,,,,,,,,,,,
MQ190702-174,MQ190702,LIB-Aalborg-W-LT-663,62943.0,,pre-S::Select,,Aalborg W,2019-01-08,2019,,,,,,,,,,,,,,,
MQ190702-178,MQ190702,LIB-Aalborg-W-LT-665,27587.0,,pre-S::Select,,Aalborg W,2019-01-11,2019,,,,,,,,,,,,,,,
MQ190702-179,MQ190702,LIB-Aalborg-W-LT-667,22791.0,,pre-S::Select,,Aalborg W,2019-01-15,2019,,,,,,,,,,,,,,,
MQ190702-180,MQ190702,LIB-Aalborg-W-LT-669,34564.0,,pre-S::Select,,Aalborg W,2019-01-18,2019,,,,,,,,,,,,,,,
MQ190702-181,MQ190702,LIB-Aalborg-W-LT-671,29641.0,,pre-S::Select,,Aalborg W,2019-01-22,2019,,,,,,,,,,,,,,,
MQ190702-182,MQ190702,LIB-Aalborg-W-LT-673,21250.0,,pre-S::Select,,Aalborg W,2019-01-25,2019,,,,,,,,,,,,,,,
MQ190702-183,MQ190702,LIB-Aalborg-W-LT-675,28325.0,,pre-S::Select,,Aalborg W,2019-01-29,2019,,,,,,,,,,,,,,,
MQ190702-184,MQ190702,LIB-Aalborg-W-LT-677,33127.0,,pre-S::Select,,Aalborg W,2019-02-01,2019,,,,,,,,,,,,,,,
MQ190702-185,MQ190702,LIB-Aalborg-W-LT-679,28820.0,,pre-S::Select,,Aalborg W,2019-02-05,2019,,,,,,,,,,,,,,,
MQ190702-186,MQ190702,LIB-Aalborg-W-LT-681,57597.0,,pre-S::Select,,Aalborg W,2019-02-08,2019,,,,,,,,,,,,,,,
MQ190702-187,MQ190702,LIB-Aalborg-W-LT-683,46125.0,,pre-S::Select,,Aalborg W,2019-02-12,2019,,,,,,,,,,,,,,,
MQ190702-188,MQ190702,LIB-Aalborg-W-LT-685,63203.0,,pre-S::Select,,Aalborg W,2019-02-15,2019,,,,,,,,,,,,,,,
MQ190702-189,MQ190702,LIB-Aalborg-W-LT-687,56526.0,,pre-S::Select,,Aalborg W,2019-02-19,2019,,,,,,,,,,,,,,,
MQ190702-190,MQ190702,LIB-Aalborg-W-LT-689,45968.0,,pre-S::Select,,Aalborg W,2019-02-21,2019,,,,,,,,,,,,,,,
MQ190702-191,MQ190702,LIB-Aalborg-W-LT-691,55010.0,,pre-S::Select,,Aalborg W,2019-02-28,2019,,,,,,,,,,,,,,,
MQ190702-192,MQ190702,LIB-Aalborg-W-LT-693,68648.0,,pre-S::Select,,Aalborg W,2019-03-05,2019,,,,,,,,,,,,,,,
MQ190702-193,MQ190702,LIB-Aalborg-W-LT-695,62476.0,,pre-S::Select,,Aalborg W,2019-03-08,2019,,,,,,,,,,,,,,,
MQ190702-194,MQ190702,LIB-Aalborg-W-LT-697,66902.0,,pre-S::Select,,Aalborg W,2019-03-12,2019,,,,,,,,,,,,,,,
MQ190702-195,MQ190702,LIB-Aalborg-W-LT-699,51740.0,,pre-S::Select,,Aalborg W,2019-03-15,2019,,,,,,,,,,,,,,,
MQ190702-196,MQ190702,LIB-Aalborg-W-LT-701,70943.0,,pre-S::Select,,Aalborg W,2019-03-19,2019,,,,,,,,,,,,,,,
MQ190702-197,MQ190702,LIB-Aalborg-W-LT-703,1171.0,,pre-S::Select,,Aalborg W,2019-03-22,2019,,,,,,,,,,,,,,,
MQ190702-198,MQ190702,LIB-Aalborg-W-LT-705,47186.0,,pre-S::Select,,Aalborg W,2019-03-26,2019,,,,,,,,,,,,,,,
MQ200420-66,MQ200420,LIB-AalborgW-LT-721,40105.0,,pre-S::Select,,Aalborg W,2019-03-28,2019,,,,,,,,,,,,,,,
MQ200420-67,MQ200420,LIB-AalborgW-LT-723,47365.0,,pre-S::Select,,Aalborg W,2019-04-01,2019,,,,,,,,,,,,,,,
MQ200420-69,MQ200420,LIB-AalborgW-LT-727,45644.0,,pre-S::Select,,Aalborg W,2019-04-09,2019,,,,,,,,,,,,,,,
MQ200420-70,MQ200420,LIB-AalborgW-LT-729,47858.0,,pre-S::Select,,Aalborg W,2019-04-15,2019,,,,,,,,,,,,,,,
MQ200420-71,MQ200420,LIB-AalborgW-LT-731,47157.0,,pre-S::Select,,Aalborg W,2019-04-24,2019,,,,,,,,,,,,,,,
MQ200420-72,MQ200420,LIB-AalborgW-LT-733,44247.0,,pre-S::Select,,Aalborg W,2019-04-30,2019,,,,,,,,,,,,,,,
MQ200420-73,MQ200420,LIB-AalborgW-LT-735,46132.0,,pre-S::Select,,Aalborg W,2019-05-03,2019,,,,,,,,,,,,,,,
MQ200420-74,MQ200420,LIB-AalborgW-LT-737,35616.0,,pre-S::Select,,Aalborg W,2019-05-07,2019,,,,,,,,,,,,,,,
MQ200420-75,MQ200420,LIB-AalborgW-LT-739,40345.0,,pre-S::Select,,Aalborg W,2019-05-16,2019,,,,,,,,,,,,,,,
MQ200420-76,MQ200420,LIB-AalborgW-LT-741,38564.0,,pre-S::Select,,Aalborg W,2019-05-21,2019,,,,,,,,,,,,,,,
MQ200420-77,MQ200420,LIB-AalborgW-LT-743,39113.0,,pre-S::Select,,Aalborg W,2019-05-28,2019,,,,,,,,,,,,,,,
MQ200420-80,MQ200420,LIB-AalborgW-LT-749,43204.0,,pre-S::Select,,Aalborg W,2019-06-18,2019,,,,,,,,,,,,,,,
MQ200420-81,MQ200420,LIB-AalborgW-LT-751,41555.0,,pre-S::Select,,Aalborg W,2019-06-26,2019,,,,,,,,,,,,,,,
MQ200420-82,MQ200420,LIB-AalborgW-LT-753,36449.0,,pre-S::Select,,Aalborg W,2019-07-01,2019,,,,,,,,,,,,,,,
MQ200420-83,MQ200420,LIB-AalborgW-LT-755,38518.0,,pre-S::Select,,Aalborg W,2019-07-09,2019,,,,,,,,,,,,,,,
MQ200420-84,MQ200420,LIB-AalborgW-LT-757,37980.0,,pre-S::Select,,Aalborg W,2019-07-17,2019,,,,,,,,,,,,,,,
MQ200420-85,MQ200420,LIB-AalborgW-LT-759,40427.0,,pre-S::Select,,Aalborg W,2019-07-22,2019,,,,,,,,,,,,,,,
MQ200420-86,MQ200420,LIB-AalborgW-LT-761,27601.0,,pre-S::Select,,Aalborg W,2019-07-29,2019,,,,,,,,,,,,,,,
MQ200420-87,MQ200420,LIB-AalborgW-LT-763,39206.0,,pre-S::Select,,Aalborg W,2019-08-05,2019,,,,,,,,,,,,,,,
MQ200420-88,MQ200420,LIB-AalborgW-LT-765,2846.0,,pre-S::Select,,Aalborg W,2019-08-15,2019,,,,,,,,,,,,,,,
MQ200420-89,MQ200420,LIB-AalborgW-LT-767,44718.0,,pre-S::Select,,Aalborg W,2019-08-19,2019,,,,,,,,,,,,,,,
MQ200420-90,MQ200420,LIB-AalborgW-LT-769,36672.0,,pre-S::Select,,Aalborg W,2019-08-26,2019,,,,,,,,,,,,,,,
MQ200420-91,MQ200420,LIB-AalborgW-LT-771,48522.0,,pre-S::Select,,Aalborg W,2019-09-03,2019,,,,,,,,,,,,,,,
MQ200420-92,MQ200420,LIB-AalborgW-LT-773,45488.0,,pre-S::Select,,Aalborg W,2019-09-09,2019,,,,,,,,,,,,,,,
MQ200420-93,MQ200420,LIB-AalborgW-LT-775,46547.0,,pre-S::Select,,Aalborg W,2019-09-16,2019,,,,,,,,,,,,,,,
MQ200420-94,MQ200420,LIB-AalborgW-LT-777,44235.0,,pre-S::Select,,Aalborg W,2019-09-23,2019,,,,,,,,,,,,,,,
MQ200420-95,MQ200420,LIB-AalborgW-LT-779,42959.0,,pre-S::Select,,Aalborg W,2019-09-30,2019,,,,,,,,,,,,,,,
MQ200420-96,MQ200420,LIB-AalborgW-LT-781,48278.0,,pre-S::Select,,Aalborg W,2019-10-10,2019,,,,,,,,,,,,,,,
MQ200420-97,MQ200420,LIB-AalborgW-LT-783,42290.0,,pre-S::Select,,Aalborg W,2019-10-15,2019,,,,,,,,,,,,,,,
MQ200420-98,MQ200420,LIB-AalborgW-LT-785,26310.0,,pre-S::Select,,Aalborg W,2019-10-29,2019,,,,,,,,,,,,,,,
MQ200420-99,MQ200420,LIB-AalborgW-LT-787,29779.0,,S::Select,,Aalborg W,2019-11-05,2019,,,,,,,,,,,,,,,
MQ200420-100,MQ200420,LIB-AalborgW-LT-789,31925.0,,S::Select,,Aalborg W,2019-11-12,2019,,,,,,,,,,,,,,,
MQ201009-1,MQ201009,LIB-Aalborg-Vest-802,21208.0,,S::Select,,Aalborg W,2020-01-02,2020,,,,,,,,,,,,,,,
MQ201009-2,MQ201009,LIB-Aalborg-Vest-803,28901.0,,S::Select,,Aalborg W,2020-01-07,2020,,,,,,,,,,,,,,,
MQ201009-3,MQ201009,LIB-Aalborg-Vest-805,25797.0,,S::Select,,Aalborg W,2020-01-13,2020,,,,,,,,,,,,,,,
MQ201009-4,MQ201009,LIB-Aalborg-Vest-807,26839.0,,S::Select,,Aalborg W,2020-01-20,2020,,,,,,,,,,,,,,,
MQ201009-5,MQ201009,LIB-Aalborg-Vest-809,23764.0,,S::Select,,Aalborg W,2020-01-22,2020,,,,,,,,,,,,,,,
MQ201009-6,MQ201009,LIB-Aalborg-Vest-811,24964.0,,S::Select,,Aalborg W,2020-01-27,2020,,,,,,,,,,,,,,,
MQ201009-7,MQ201009,LIB-Aalborg-Vest-813,22469.0,,S::Select,,Aalborg W,2020-02-06,2020,,,,,,,,,,,,,,,
MQ201009-8,MQ201009,LIB-Aalborg-Vest-815,26421.0,,S::Select,,Aalborg W,2020-02-12,2020,,,,,,,,,,,,,,,
MQ201009-9,MQ201009,LIB-Aalborg-Vest-817,28101.0,,S::Select,,Aalborg W,2020-02-19,2020,,,,,,,,,,,,,,,
MQ201009-10,MQ201009,LIB-Aalborg-Vest-819,29569.0,,S::Select,,Aalborg W,2020-03-04,2020,,,,,,,,,,,,,,,
MQ201009-11,MQ201009,LIB-Aalborg-Vest-821,27906.0,,S::Select,,Aalborg W,2020-03-12,2020,,,,,,,,,,,,,,,
MQ201009-12,MQ201009,LIB-Aalborg-Vest-823,30280.0,,S::Select,,Aalborg W,2020-03-30,2020,,,,,,,,,,,,,,,
MQ201009-13,MQ201009,LIB-Aalborg-Vest-825,28356.0,,S::Select,,Aalborg W,2020-04-07,2020,,,,,,,,,,,,,,,
MQ201009-14,MQ201009,LIB-Aalborg-Vest-827,28245.0,,S::Select,,Aalborg W,2020-04-14,2020,,,,,,,,,,,,,,,
MQ201009-15,MQ201009,LIB-Aalborg-Vest-829,28755.0,,S::Select,,Aalborg W,2020-04-22,2020,,,,,,,,,,,,,,,
MQ201009-16,MQ201009,LIB-Aalborg-Vest-831,32341.0,,S::Select,,Aalborg W,2020-04-27,2020,,,,,,,,,,,,,,,
MQ201009-17,MQ201009,LIB-Aalborg-Vest-833,32635.0,,S::Select,,Aalborg W,2020-05-04,2020,,,,,,,,,,,,,,,
MQ201009-18,MQ201009,LIB-Aalborg-Vest-835,35656.0,,S::Select,,Aalborg W,2020-05-11,2020,,,,,,,,,,,,,,,
MQ201009-19,MQ201009,LIB-Aalborg-Vest-837,36934.0,,S::Select,,Aalborg W,2020-05-19,2020,,,,,,,,,,,,,,,
MQ201009-20,MQ201009,LIB-Aalborg-Vest-839,37123.0,,S::Select,,Aalborg W,2020-05-25,2020,,,,,,,,,,,,,,,
MQ201009-21,MQ201009,LIB-Aalborg-Vest-841,34813.0,,S::Select,,Aalborg W,2020-06-02,2020,,,,,,,,,,,,,,,
MQ201009-22,MQ201009,LIB-Aalborg-Vest-843,36035.0,,S::Select,,Aalborg W,2020-06-08,2020,,,,,,,,,,,,,,,
MQ201009-23,MQ201009,LIB-Aalborg-Vest-845,33057.0,,S::Select,,Aalborg W,2020-06-16,2020,,,,,,,,,,,,,,,
MQ201009-24,MQ201009,LIB-Aalborg-Vest-847,36933.0,,S::Select,,Aalborg W,2020-06-25,2020,,,,,,,,,,,,,,,
MQ201009-25,MQ201009,LIB-Aalborg-Vest-849,23166.0,,S::Select,,Aalborg W,2020-06-30,2020,,,,,,,,,,,,,,,
MQ201009-26,MQ201009,LIB-Aalborg-Vest-851,29678.0,,S::Select,,Aalborg W,2020-07-06,2020,,,,,,,,,,,,,,,
MQ201009-27,MQ201009,LIB-Aalborg-Vest-853,29402.0,,S::Select,,Aalborg W,2020-07-13,2020,,,,,,,,,,,,,,,
MQ201009-28,MQ201009,LIB-Aalborg-Vest-855,31996.0,,S::Select,,Aalborg W,2020-07-20,2020,,,,,,,,,,,,,,,
MQ201009-29,MQ201009,LIB-Aalborg-Vest-857,30101.0,,S::Select,,Aalborg W,2020-07-26,2020,,,,,,,,,,,,,,,
MQ201009-30,MQ201009,LIB-Aalborg-Vest-859,25510.0,,S::Select,,Aalborg W,2020-08-04,2020,,,,,,,,,,,,,,,
