SampleID	SampleDay	SampleContent	SampleIndividual
M3_gut_day_0	0	gut	M3
M3_gut_day_1	1	gut	M3
M3_gut_day_2	2	gut	M3
M3_gut_day_3	3	gut	M3
M3_gut_day_4	4	gut	M3
M3_gut_day_5	5	gut	M3
M3_gut_day_6	6	gut	M3
M3_gut_day_7	7	gut	M3
M3_gut_day_8	8	gut	M3
M3_gut_day_9	9	gut	M3
M3_gut_day_10	10	gut	M3
M3_gut_day_11	11	gut	M3
M3_gut_day_12	12	gut	M3
M3_gut_day_13	13	gut	M3
M3_gut_day_14	14	gut	M3
M3_gut_day_15	15	gut	M3
M3_gut_day_16	16	gut	M3
M3_gut_day_17	17	gut	M3
M3_gut_day_18	18	gut	M3
M3_gut_day_19	19	gut	M3
M3_gut_day_20	20	gut	M3
M3_gut_day_21	21	gut	M3
M3_gut_day_22	22	gut	M3
M3_gut_day_23	23	gut	M3
M3_gut_day_24	24	gut	M3
M3_gut_day_25	25	gut	M3
M3_gut_day_26	26	gut	M3
M3_gut_day_27	27	gut	M3
M3_gut_day_28	28	gut	M3
M3_gut_day_29	29	gut	M3
M3_gut_day_30	30	gut	M3
M3_gut_day_31	31	gut	M3
M3_gut_day_32	32	gut	M3
M3_gut_day_41	41	gut	M3
M3_gut_day_42	42	gut	M3
M3_gut_day_43	43	gut	M3
M3_gut_day_44	44	gut	M3
M3_gut_day_45	45	gut	M3
M3_gut_day_46	46	gut	M3
M3_gut_day_47	47	gut	M3
M3_gut_day_48	48	gut	M3
M3_gut_day_49	49	gut	M3
M3_gut_day_50	50	gut	M3
M3_gut_day_52	52	gut	M3
M3_gut_day_53	53	gut	M3
M3_gut_day_56	56	gut	M3
M3_gut_day_57	57	gut	M3
M3_gut_day_58	58	gut	M3
M3_gut_day_59	59	gut	M3
M3_gut_day_60	60	gut	M3
M3_gut_day_61	61	gut	M3
M3_gut_day_62	62	gut	M3
M3_gut_day_64	64	gut	M3
M3_gut_day_65	65	gut	M3
M3_gut_day_66	66	gut	M3
M3_gut_day_67	67	gut	M3
M3_gut_day_68	68	gut	M3
M3_gut_day_69	69	gut	M3
M3_gut_day_70	70	gut	M3
M3_gut_day_71	71	gut	M3
M3_gut_day_72	72	gut	M3
M3_gut_day_73	73	gut	M3
M3_gut_day_79	79	gut	M3
M3_gut_day_80	80	gut	M3
M3_gut_day_81	81	gut	M3
M3_gut_day_82	82	gut	M3
M3_gut_day_83	83	gut	M3
M3_gut_day_84	84	gut	M3
M3_gut_day_86	86	gut	M3
M3_gut_day_87	87	gut	M3
M3_gut_day_88	88	gut	M3
M3_gut_day_89	89	gut	M3
M3_gut_day_90	90	gut	M3
M3_gut_day_91	91	gut	M3
M3_gut_day_92	92	gut	M3
M3_gut_day_93	93	gut	M3
M3_gut_day_95	95	gut	M3
M3_gut_day_96	96	gut	M3
M3_gut_day_97	97	gut	M3
M3_gut_day_98	98	gut	M3
M3_gut_day_99	99	gut	M3
M3_gut_day_100	100	gut	M3
M3_gut_day_101	101	gut	M3
M3_gut_day_102	102	gut	M3
M3_gut_day_103	103	gut	M3
M3_gut_day_104	104	gut	M3
M3_gut_day_105	105	gut	M3
M3_gut_day_112	112	gut	M3
M3_gut_day_113	113	gut	M3
M3_gut_day_114	114	gut	M3
M3_gut_day_115	115	gut	M3
M3_gut_day_117	117	gut	M3
M3_gut_day_118	118	gut	M3
M3_gut_day_120	120	gut	M3
M3_gut_day_121	121	gut	M3
M3_gut_day_122	122	gut	M3
M3_gut_day_123	123	gut	M3
M3_gut_day_124	124	gut	M3
M3_gut_day_125	125	gut	M3
M3_gut_day_126	126	gut	M3
M3_gut_day_127	127	gut	M3
M3_gut_day_128	128	gut	M3
M3_gut_day_129	129	gut	M3
M3_gut_day_130	130	gut	M3
M3_gut_day_131	131	gut	M3
M3_gut_day_132	132	gut	M3
M3_gut_day_133	133	gut	M3
M3_gut_day_134	134	gut	M3
M3_gut_day_135	135	gut	M3
M3_gut_day_137	137	gut	M3
M3_gut_day_138	138	gut	M3
M3_gut_day_139	139	gut	M3
M3_gut_day_140	140	gut	M3
M3_gut_day_141	141	gut	M3
M3_gut_day_142	142	gut	M3
M3_gut_day_143	143	gut	M3
M3_gut_day_144	144	gut	M3
M3_gut_day_145	145	gut	M3
M3_gut_day_146	146	gut	M3
M3_gut_day_147	147	gut	M3
M3_gut_day_148	148	gut	M3
M3_gut_day_149	149	gut	M3
M3_gut_day_150	150	gut	M3
M3_gut_day_151	151	gut	M3
M3_gut_day_152	152	gut	M3
M3_gut_day_153	153	gut	M3
M3_gut_day_154	154	gut	M3
M3_gut_day_157	157	gut	M3
M3_gut_day_158	158	gut	M3
M3_gut_day_159	159	gut	M3
M3_gut_day_160	160	gut	M3
M3_gut_day_161	161	gut	M3
M3_gut_day_164	164	gut	M3
M3_gut_day_166	166	gut	M3
M3_gut_day_167	167	gut	M3
M3_gut_day_169	169	gut	M3
M3_gut_day_170	170	gut	M3
M3_gut_day_171	171	gut	M3
M3_gut_day_172	172	gut	M3
M3_gut_day_173	173	gut	M3
M3_gut_day_174	174	gut	M3
M3_gut_day_175	175	gut	M3
M3_gut_day_176	176	gut	M3
M3_gut_day_177	177	gut	M3
M3_gut_day_179	179	gut	M3
M3_gut_day_180	180	gut	M3
M3_gut_day_181	181	gut	M3
M3_gut_day_182	182	gut	M3
M3_gut_day_183	183	gut	M3
M3_gut_day_185	185	gut	M3
M3_gut_day_186	186	gut	M3
M3_gut_day_187	187	gut	M3
M3_gut_day_189	189	gut	M3
M3_gut_day_191	191	gut	M3
M3_gut_day_192	192	gut	M3
M3_gut_day_193	193	gut	M3
M3_gut_day_194	194	gut	M3
M3_gut_day_195	195	gut	M3
M3_gut_day_196	196	gut	M3
M3_gut_day_197	197	gut	M3
M3_gut_day_198	198	gut	M3
M3_gut_day_199	199	gut	M3
M3_gut_day_200	200	gut	M3
M3_gut_day_201	201	gut	M3
M3_gut_day_202	202	gut	M3
M3_gut_day_203	203	gut	M3
M3_gut_day_204	204	gut	M3
M3_gut_day_205	205	gut	M3
M3_gut_day_206	206	gut	M3
M3_gut_day_208	208	gut	M3
M3_gut_day_209	209	gut	M3
M3_gut_day_210	210	gut	M3
M3_gut_day_211	211	gut	M3
M3_gut_day_212	212	gut	M3
M3_gut_day_213	213	gut	M3
M3_gut_day_214	214	gut	M3
M3_gut_day_215	215	gut	M3
M3_gut_day_216	216	gut	M3
M3_gut_day_217	217	gut	M3
M3_gut_day_218	218	gut	M3
M3_gut_day_219	219	gut	M3
M3_gut_day_221	221	gut	M3
M3_gut_day_222	222	gut	M3
M3_gut_day_223	223	gut	M3
M3_gut_day_224	224	gut	M3
M3_gut_day_225	225	gut	M3
M3_gut_day_226	226	gut	M3
M3_gut_day_227	227	gut	M3
M3_gut_day_228	228	gut	M3
M3_gut_day_229	229	gut	M3
M3_gut_day_231	231	gut	M3
M3_gut_day_232	232	gut	M3
M3_gut_day_233	233	gut	M3
M3_gut_day_235	235	gut	M3
M3_gut_day_236	236	gut	M3
M3_gut_day_237	237	gut	M3
M3_gut_day_238	238	gut	M3
M3_gut_day_239	239	gut	M3
M3_gut_day_240	240	gut	M3
M3_gut_day_241	241	gut	M3
M3_gut_day_243	243	gut	M3
M3_gut_day_244	244	gut	M3
M3_gut_day_245	245	gut	M3
M3_gut_day_246	246	gut	M3
M3_gut_day_247	247	gut	M3
M3_gut_day_248	248	gut	M3
M3_gut_day_249	249	gut	M3
M3_gut_day_250	250	gut	M3
M3_gut_day_251	251	gut	M3
M3_gut_day_252	252	gut	M3
M3_gut_day_253	253	gut	M3
M3_gut_day_255	255	gut	M3
M3_gut_day_256	256	gut	M3
M3_gut_day_257	257	gut	M3
M3_gut_day_258	258	gut	M3
M3_gut_day_259	259	gut	M3
M3_gut_day_260	260	gut	M3
M3_gut_day_262	262	gut	M3
M3_gut_day_263	263	gut	M3
M3_gut_day_264	264	gut	M3
M3_gut_day_266	266	gut	M3
M3_gut_day_268	268	gut	M3
M3_gut_day_269	269	gut	M3
M3_gut_day_271	271	gut	M3
M3_gut_day_272	272	gut	M3
M3_gut_day_273	273	gut	M3
M3_gut_day_275	275	gut	M3
M3_gut_day_276	276	gut	M3
M3_gut_day_279	279	gut	M3
M3_gut_day_281	281	gut	M3
M3_gut_day_282	282	gut	M3
M3_gut_day_285	285	gut	M3
M3_gut_day_286	286	gut	M3
M3_gut_day_287	287	gut	M3
M3_gut_day_290	290	gut	M3
M3_gut_day_292	292	gut	M3
M3_gut_day_294	294	gut	M3
M3_gut_day_295	295	gut	M3
M3_gut_day_296	296	gut	M3
M3_gut_day_297	297	gut	M3
M3_gut_day_299	299	gut	M3
M3_gut_day_300	300	gut	M3
M3_gut_day_301	301	gut	M3
M3_gut_day_302	302	gut	M3
M3_gut_day_303	303	gut	M3
M3_gut_day_306	306	gut	M3
M3_gut_day_307	307	gut	M3
M3_gut_day_308	308	gut	M3
M3_gut_day_309	309	gut	M3
M3_gut_day_311	311	gut	M3
M3_gut_day_313	313	gut	M3
M3_gut_day_314	314	gut	M3
M3_gut_day_315	315	gut	M3
M3_gut_day_316	316	gut	M3
M3_gut_day_317	317	gut	M3
M3_gut_day_318	318	gut	M3
M3_gut_day_319	319	gut	M3
M3_gut_day_320	320	gut	M3
M3_gut_day_321	321	gut	M3
M3_gut_day_322	322	gut	M3
M3_gut_day_323	323	gut	M3
M3_gut_day_324	324	gut	M3
M3_gut_day_325	325	gut	M3
M3_gut_day_326	326	gut	M3
M3_gut_day_327	327	gut	M3
M3_gut_day_328	328	gut	M3
M3_gut_day_330	330	gut	M3
M3_gut_day_331	331	gut	M3
M3_gut_day_332	332	gut	M3
M3_gut_day_333	333	gut	M3
M3_gut_day_334	334	gut	M3
M3_gut_day_335	335	gut	M3
M3_gut_day_336	336	gut	M3
M3_gut_day_337	337	gut	M3
M3_gut_day_338	338	gut	M3
M3_gut_day_340	340	gut	M3
M3_gut_day_341	341	gut	M3
M3_gut_day_343	343	gut	M3
M3_gut_day_344	344	gut	M3
M3_gut_day_345	345	gut	M3
M3_gut_day_348	348	gut	M3
M3_gut_day_349	349	gut	M3
M3_gut_day_351	351	gut	M3
M3_gut_day_352	352	gut	M3
M3_gut_day_353	353	gut	M3
M3_gut_day_355	355	gut	M3
M3_gut_day_356	356	gut	M3
M3_gut_day_358	358	gut	M3
M3_gut_day_360	360	gut	M3
M3_gut_day_361	361	gut	M3
M3_gut_day_362	362	gut	M3
M3_gut_day_363	363	gut	M3
M3_gut_day_364	364	gut	M3
M3_gut_day_366	366	gut	M3
M3_gut_day_368	368	gut	M3
M3_gut_day_369	369	gut	M3
M3_gut_day_370	370	gut	M3
M3_gut_day_371	371	gut	M3
M3_gut_day_372	372	gut	M3
M3_gut_day_373	373	gut	M3
M3_gut_day_374	374	gut	M3
M3_gut_day_375	375	gut	M3
M3_gut_day_376	376	gut	M3
M3_gut_day_377	377	gut	M3
M3_gut_day_378	378	gut	M3
M3_gut_day_379	379	gut	M3
M3_gut_day_381	381	gut	M3
M3_gut_day_382	382	gut	M3
M3_gut_day_384	384	gut	M3
M3_gut_day_385	385	gut	M3
M3_gut_day_386	386	gut	M3
M3_gut_day_388	388	gut	M3
M3_gut_day_389	389	gut	M3
M3_gut_day_390	390	gut	M3
M3_gut_day_391	391	gut	M3
M3_gut_day_396	396	gut	M3
M3_gut_day_398	398	gut	M3
M3_gut_day_400	400	gut	M3
M3_gut_day_401	401	gut	M3
M3_gut_day_406	406	gut	M3
M3_gut_day_410	410	gut	M3
M3_gut_day_412	412	gut	M3
M3_gut_day_413	413	gut	M3
M3_gut_day_414	414	gut	M3
M3_gut_day_415	415	gut	M3
M3_gut_day_416	416	gut	M3
M3_gut_day_417	417	gut	M3
M3_gut_day_418	418	gut	M3
M3_gut_day_421	421	gut	M3
M3_gut_day_438	438	gut	M3
M3_gut_day_439	439	gut	M3
M3_gut_day_442	442	gut	M3
