Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
Ca_Amarolinea,"*Candidatus* Amarilinum,C10_SB1A",Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,Amarolineaceae,na,na,na,na,na,na,pos,pos,neg,na,na,na,na,neg,na,na,pos,pos,na,na,na,na,neg,na,pos,pos,neg,na,pos,na,neg,na
Ca_Microthrix,"",Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,neg,neg,na,neg,na,neg,pos,pos,neg,neg,na,neg,neg,var,neg,neg,neg,neg,na,na,na,neg,neg,pos,neg,pos,neg,var,pos,pos,pos,na
Trichococcus,"*Nostocoida limicola* , *Lactosphaera pasteurii* , *Ruminococcus palustris* and Carnococcus allantoicus",Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,pos,na,pos,na,na,na,pos,na,pos,na,var,var,var,na,na
Tetrasphaera,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,na,neg,na,neg,na,neg,pos,pos,pos,pos,neg,na,neg,var,neg,na,var,var,na,na,na,na,var,pos,pos,pos,pos,var,var,var,na,na
Ferruginibacter,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Lentimicrobium,"",Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,na
Ca_Fermentibacter,B-1AC,Bacteria,Fermentibacterota,Fermentibacteria,Fermentibacterales,Fermentibacteraceae,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,pos,na,neg,na,neg,na,neg,na,pos,na,na,neg,na,na,na
CL500-29 marine group,HTG5,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Ca_Epiflobacter,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,pos,na,neg,na,neg,na,neg,na,neg,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,neg,na,na,na
Rhodobacter,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,var,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
Thauera,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,pos,pos,neg,na,na,na,var,pos,var,neg,na,neg,na,na,na,na,pos,pos,pos,pos,pos,pos,neg,neg,na,var
BD1-7 clade,"",Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
OLB8,"",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Terrimonas,"LPB08,PHOS-HE31",Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Rhodoferax,"Albidoferax, Albidiferax",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,pos,pos,neg,na,na,na,pos,var,pos,var,na,var,na,na,na,na,pos,pos,pos,pos,pos,pos,neg,var,na,na
Romboutsia,p-55-a5,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,na,na,pos,na,pos,na,neg,na,na
Methanothrix,*Methanosaeta*,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,pos,pos,pos,pos,na,na,na,pos,na,var,na,pos
Nitrospira,"",Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,na,var,pos,pos,na,neg,pos,neg,neg,neg,neg,neg,na,pos,na,na,na,na,na,na,na,na,neg,pos,na,na,na,pos,neg,neg,na,pos
Propionicimonas,"*Propionicicella* , Propionate-producing Actinobacteria group",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,pos,pos,na,na,na,na,na,pos,pos,pos,na,na,neg,neg,na,na
Paracoccus,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,neg,na,na,na,var,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Uliginosibacterium,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Christensenellaceae R-7 group,"",Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,na,na,na,na,na
Rikenellaceae RC9 gut group,"",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Clostridium sensu stricto 1,"",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,var,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,na
Ca_Caldatribacterium,"",Bacteria,Caldatribacteriota,Caldatribacteriia,Caldatribacteriales,Caldatribacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Terrisporobacter,p-55-a5,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,pos,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Leptothrix,"Detoniella,Chlamydothrix",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,var,var,na,na
Lacihabitans,"",Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Ca_Cloacimonas,*Ca* Cloacamonas,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Ferribacterium,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,neg,na,neg,na,na,na,na,na,pos,na,neg,na,na,neg,neg,na,na
Dechloromonas,Includes Bet135 sub-group,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,pos,pos,var,na,neg,na,pos,pos,pos,pos,na,neg,na,na,na,na,pos,pos,neg,neg,pos,pos,neg,neg,na,na
Dietzia,Rhodococcus spp,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,pos
Defluviicoccus,"*Candidatus* Monolibacter batavus, Nostocoida limicola ,Defluvicoccus",Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,na,neg,na,neg,na,neg,pos,pos,neg,neg,pos,pos,neg,pos,neg,na,na,var,na,na,na,na,pos,pos,var,pos,pos,pos,var,neg,neg,na
Propioniciclava,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,na,na,neg,na,na
Acetomicrobium,Anaerobaculum,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,pos,na,na,na,neg,na,pos,na,pos,na,neg,na,na
Hyphomicrobium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,pos,pos
Dokdonella,"",Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,neg
Ca_Competibacter,GB1,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,na,neg,na,neg,na,neg,pos,pos,neg,neg,pos,pos,neg,pos,neg,na,var,pos,na,na,na,neg,pos,pos,neg,pos,neg,na,neg,na,na,na
Leucobacter,"",Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,pos
Lautropia,GZKB25,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,neg,na,na
Smithella,"",Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,na,na,na,na,na,na,neg,neg,na,na,na,na,na,na,na,neg,na,na,neg,neg,neg,neg,pos,pos,neg,na,na,na,neg,neg,na,na
Nitrosomonas,Nitrosococcus mobilis,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,pos,pos,neg,neg,na,na,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,neg,neg,na,na
Proteiniclasticum,"",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,neg,na,pos,na,neg,na,na
Marmoricola,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Streptococcus,*Nostocoida limicola*,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,var,na,na,pos,pos,na,na,na,na,neg,na,pos,pos,var,pos,var,var,na,var
Legionella,"",Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,var,na,na
Intestinibacter,p-55-a5,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,na
Defluviimonas,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,neg,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Gordonia,"Gordonia amarae-like organisms (GALO),Nocardia amarae,Gordona",Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,var,na,var,na,na,na,na,na,na,na,pos,pos,var,pos,pos,neg,pos,var,pos,pos
Methylorosula,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
Ca_Accumulibacter,"Rhodocyclus-related PAO, CAP",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,neg,na,neg,na,neg,pos,pos,pos,pos,var,pos,var,pos,var,na,neg,na,na,na,na,neg,pos,na,neg,na,var,na,neg,na,na,na
JGI 0001001-H03,"",Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Haliangium,"",Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,pos,na,pos,na,na,na,na,na,na,na,neg,na,na,na,var,pos,neg,neg,na,na
Ca_Promineofilum,"Eikelboom type 0092, Brachythrix,B45",Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ca Promineofilaceae,na,neg,na,neg,na,neg,pos,pos,neg,na,neg,na,na,pos,na,neg,pos,pos,na,neg,na,neg,neg,na,pos,pos,neg,na,pos,na,neg,na
Hydrogenophaga,Hydrogeniphaga,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Brooklawnia,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Syntrophus,"",Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Syntrophaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na,na,neg,na,neg,na,neg,na,na,na,na
Acidibacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na
Geothrix,"",Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,pos,na,neg,na,na,na,neg,na,na
Thermomonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,pos,pos,na,pos,pos,pos,neg,var,na,pos
Enterococcus,"",Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,var
AAP99,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Haliscomenobacter,H. hydrossis,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,pos,pos,neg,na,neg,neg,neg,na,neg,na,neg,neg,na,na,na,na,neg,neg,pos,pos,neg,pos,pos,pos,neg,na
Ca_Brevefilum,A6,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na,na,na,na,na,pos,na,na,na
Novosphingobium,Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,neg,neg,na,pos
Aquabacterium,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,var,na,var,na,na,na,na
Bradyrhizobium,"*Rhizobium japonicum* , *Blastobacter denitrificans* , *Rhizobium lupini* , *Agrimonas oligotrophica*",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,neg,na,var
Ideonella,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
Ellin6067,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Iamia,"",Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,neg,na,na,na,neg,na,na
Micropruina,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,pos,pos,neg,neg,pos,pos,na,var,na,na,pos,pos,na,na,na,na,pos,pos,pos,pos,pos,pos,neg,neg,na,na
Tessaracoccus,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Aestuariimicrobium,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Subdoligranulum,"",Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,neg,na,na
Nocardioides,"",Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,pos,na,pos,na,var,na,pos
Denitratisoma,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sphingopyxis,Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Coprothermobacter,*Thermobacterioides proteolyticus*,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,pos,pos,na,var,na,na,na,na,na,pos,pos,pos,neg,var,na,na
Limnohabitans,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
Propionivibrio,*Propionibacter pelophilus*,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,neg,na,neg,na,neg,na,var,neg,neg,pos,var,na,var,na,neg,na,var,na,neg,na,na,na,var,na,var,na,var,neg,neg,na,na
Ca_Sarcinithrix,Eikelboom type 0914,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,Amarolineaceae,na,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,pos,na,neg,na
Piscinibacter,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Proteiniphilum,"",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,na
Pirellula,"",Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Ca_Villigracilis,"*Candidatus* Villogracilis ,SBR1029",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,pos,na,na,na
Ottowia,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,na,na,pos,na,na,na,na
Gemmobacter,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Thiothrix,"Eikelboom Type 021N group I, II, III",Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,pos,na,neg,na,na,na,na,na,na,pos,pos,neg,pos,na,pos,pos,pos,neg,na
Thermovirga,"",Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,neg,na,pos,na,neg,na,na
Caldicoprobacter,*Acetomicrobium faecale*,Bacteria,Firmicutes,Clostridia,Caldicoprobacterales,Caldicoprobacteraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,var,na,na
Neomegalonema,"Eikelboom type 021N-like,Meganema",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,neg,na,neg,na,neg,pos,pos,neg,neg,neg,na,var,neg,var,neg,neg,neg,na,na,na,neg,pos,na,pos,pos,pos,na,pos,pos,pos,na
Lactococcus,"*Streptococcus lactis* , *S. garvieae* , *S. plantarum* , S. raffinolactis *,* Lactobacillus xylosus *,L. hordniae*",Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,na,na,na,na,na,na,na,var,na,na,na,na,na,neg,na,na,pos,pos,na,na,na,na,na,na,pos,pos,na,pos,var,var,na,var
Phreatobacter,Rasbo,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
IMCC26207,*Candida* Limnosphaera aquatica,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
Mycobacterium,"",Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,pos,pos,na,na,na,var,na,pos
Comamonas,"",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,neg,na,pos,na,na,na,na
Mesorhizobium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Sphingobium,"",Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
Amaricoccus,Tetracoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,neg,neg,na,na
